id,name,date,proposed_slug,note
7214f743-0c8c-4c4e-9d19-082f816b99ba,RECESS #1,2016-03-29,recess-1,
7e32fd1e-b89b-4d63-83e8-b5ed0824c3de,RECESS #2,2016-12-22,recess-2,
96c8b62b-c6c7-4403-9acc-d8aaa43f16b9,RECESS Feb 2017,2017-02-09,recess-feb-2017,
8627bf6b-84fb-4c1d-a78b-0414dadb40d8,RECESS March 2017,2017-03-24,recess-march-2017,
b58a3e1c-3b92-424a-a588-4b8cce4e11b3,RECESS April 2017,2017-04-28,recess-april-2017,
f24d2176-b2d3-4f6a-9058-bb9e07754941,RECESS June 2017,2017-06-29,recess-june-2017,
08fa179b-353a-47af-93ad-e807f67d4081,RECESS August 2017,2017-08-03,recess-august-2017-wk1,hand-cleaned from date-collision
308f5f90-bc7b-43cc-aae4-df11b5e1f3b2,RECESS August 2017,2017-08-27,recess-august-2017-wk2,hand-cleaned from date-collision
97c528df-aab4-4000-9f44-87e660546d42,RECESS Sept 2017,2017-09-29,recess-sept-2017,
038d8a18-3dd7-4639-99f4-8f425fcb4c8e,RECESS 2000,2017-10-28,recess-2000,
7d7e4e41-b480-4b29-8590-d66c2b81939a,RECESS 1st Birthday,2017-12-01,recess-1st-birthday,
e4a13b6a-01f8-4068-a8a2-bf486506aa7c,RECESS Wakanda,2018-01-26,recess-wakanda,
c400a27c-4cb0-4e67-93a9-527f3e8cd13e,RECESS March 2018,2018-03-03,recess-march-2018,
09ba576b-8ca4-471e-ada1-b9f5de55b16f,RECESS Baby Block Party,2018-04-20,recess-baby-block-party,
3db76ec4-6759-48cc-ac5e-282751a0be4c,RECESS Spring Fling,2018-04-27,recess-spring-fling,
0aad31b7-ac40-4b74-98d4-31d90826cf43,RECESS June 2018,2018-06-08,recess-june-2018,
e0cb81cb-96fe-4e31-8fdd-efa07bbd7bdb,RECESS July 2018 [1],2018-07-01,recess-july-2018-1,
7f2d5c3f-7224-4859-98fb-2b537d3c7141,RECESS July 2018 [2],2018-07-14,recess-july-2018-2,
f05f72a3-b19a-4c93-ba34-5252cf114dfd,#JojosRECESS,2018-08-01,jojos-recess,cosmetic hand-fix
13cee5d4-ae6a-418b-86c8-e45b4d714425,RECESS Thirsty Thursday 2018,2018-08-02,recess-thirsty-thursday-2018,
721db5e6-f9f5-4423-ba61-2da1e96d100d,RECESS Block Party Aug 2018 [1],2018-08-05,recess-block-party-aug-2018-1,
7d156136-f0d8-407f-966a-cc09bd0416bd,RECESS Block Party Aug 2018 [2],2018-08-25,recess-block-party-aug-2018-2,
e19a3e67-50e5-4351-9b32-39543f96c7d7,RECESS Cuffin Szn,2018-09-28,recess-cuffin-szn,
2495dab5-f3a8-4899-88c1-0090c64cb5bb,RECESS 88,2018-11-03,recess-88,
0873388a-e8a0-4256-8402-0a339f4e8655,RECESS Styx Forever,2018-11-30,recess-styx-forever,
dd629987-4841-419c-ae2a-50774af16a6e,RECESS 2x: Phonox,2018-12-22,recess-2x-phonox,
25a6395e-d13c-480c-a746-c5d2de9826c3,RECESS 2x: XOYO,2018-12-28,recess-2x-xoyo,
7256978a-e056-4033-bf55-30aea590e56e,RECESS Feb 2019,2019-02-03,recess-feb-2019,
26629f4f-6b36-49b0-a1a5-ec0fc6f1cf8c,RECESS April 2019,2019-04-21,recess-april-2019,
e8e650d3-1552-4f3a-8494-e000392a0795,RECESS May 2019 [Weekend 1],2019-05-05,recess-may-2019-weekend-1,
56a00737-85e3-44b6-b9d2-7f58c5f7c550,RECESS May 2019 [Weekend 1 - Day],2019-05-06,recess-may-2019-weekend-1-day,
1e5d83f3-37d7-4ae1-ba4e-fdf3caab9045,RECESS May 2019 [Weekend 2 - Night],2019-05-24,recess-may-2019-weekend-2-night,
2a0caa30-906c-409d-8dad-8e8ee55f407c,RECESS May 2019 [Weekend 2 - Day],2019-05-27,recess-may-2019-weekend-2-day,
4bc30d39-f050-44f3-b243-4d2d7a991842,RECESS June 2019,2019-06-30,recess-june-2019,
64b2911a-11dc-4cda-94cd-d35856498118,RECESS Block Party June 2019,2019-07-14,recess-block-party-june-2019,
2c62cfbc-ce88-46be-b661-70d950f3502e,RECESS Roof Party,2019-07-25,recess-roof-party,
7ec7d2be-40c8-494e-a9cb-c6ef1b931dae,RECESS Garden Party,2019-08-04,recess-garden-party,
270bb631-517d-44f8-ba65-df737e49a9ac,RECESS Ibiza,2019-08-04,(none — delete),"CONFIRMED DELETE — empty orphan (0 photos, dup of recess-ibiza); soft-delete, do NOT publish"
32f33a77-a2b8-46e0-b96e-f9ecae2f657f,RECESS Ibiza,2019-08-04,recess-ibiza,real RECESS Ibiza (863 photos)
1dc47063-8495-4589-8c0f-b923a9d58838,RECESS Block Party Aug 2019,2019-08-25,recess-block-party-aug-2019,
a9d9e49a-bb0c-4b3b-acee-d510c802b98d,RECESS Summer Is Over 2019,2019-09-22,recess-summer-is-over-2019,
fe9d96ca-d4bb-4dd3-91d4-93d86f717efd,RECESS Boiler Room 2019,2019-10-12,recess-boiler-room-2019,
86ca870c-b4cf-4d25-86f0-9ff5a32f2746,RECESS 2000 [2019],2019-11-01,recess-2000-2019,
91738c8d-7fed-4b09-80e6-d3156c94df86,RECESS January 2020,2020-01-31,recess-january-2020,
8d53318c-6f6e-43ec-a336-19e035af2e71,RECESS Nollystyle [2020],2020-02-28,recess-nollystyle-2020,
c9492a73-301e-4d24-94be-a2b25efa4176,RECESS Back Outside,2020-07-20,recess-back-outside,
6c6dea41-6fdf-42b2-9662-dfa546214c82,RECESS August 2020 [21+],2020-08-09,recess-august-2020-21plus-wk1,hand-cleaned from date-collision
a89e177f-20ba-4748-be78-5e1e05230d82,RECESS August 2020 [25+],2020-08-09,recess-august-2020-25plus-wk1,hand-cleaned from date-collision
1429cc19-0697-4d59-a854-510e05d1dda3,RECESS August 2020 [25+],2020-08-16,recess-august-2020-25plus-wk2,hand-cleaned from date-collision
b34ea792-9533-40fc-9402-39a662211bdb,RECESS August 2020 [21+],2020-08-16,recess-august-2020-21plus-wk2,hand-cleaned from date-collision
5802dc06-354b-4383-ad08-3c9d36279d71,RECESS August 2020 [21+],2020-08-23,recess-august-2020-21plus-wk3,hand-cleaned from date-collision
ca55006d-47e8-4eb0-a5b6-079377cbf6f3,RECESS Garden Party 2021 [1],2021-07-11,recess-garden-party-2021-1,
0dae122e-f91c-45f4-8207-bd462349e276,RECESS Garden Party 2021 [2],2021-07-18,recess-garden-party-2021-2,
8e2363ab-3186-46b7-95df-5cc347ce00c3,RECESS Garden Party 2021 [3],2021-07-25,recess-garden-party-2021-3,
34df3b01-5f05-4e20-9ee8-79bfe71cdb59,RECESS Garden Party [Essex],2021-08-07,recess-garden-party-essex,
5162cfcc-d0df-4281-a86d-0ee80c721a1c,RECESS Garden Party [4],2021-08-15,recess-garden-party-4,
fb1524c7-8b3c-466e-bba2-5a5a848bcaad,RECESS Weekender 2021 [Day 1],2021-08-27,recess-weekender-2021-day-1,
6cfad7f7-152e-4ff3-9b16-d6457c387431,RECESS Weekender 2021 [Day 2],2021-08-29,recess-weekender-2021-day-2,
e6d69e4a-90ae-4fb8-8ac8-a2c93e5b3004,RECESS Weekender 2021 [Day 3],2021-08-30,recess-weekender-2021-day-3,
b40cc7ac-4fc8-40eb-8b14-23144a3f75af,RECESS Summer Is Over 2021,2021-09-26,recess-summer-is-over-2021,
49f9011e-e888-417f-b88d-84c120cc748e,RECESS Nollystyle [2021],2021-10-29,recess-nollystyle-2021,
e38d9c1e-832a-4eb4-82da-fbf957da7fdf,RECESS Fabric,2021-11-26,recess-fabric,
5403d99b-505b-4bb2-b84d-7b0aa9d7e76d,RECESS 5th Birthday,2021-12-19,recess-5th-birthday,
fdb43eae-f894-46ec-83c8-9d0618086a6f,RECESS Accra,2022-01-05,recess-accra,
ad54133e-9644-43ff-9d7e-f3f178cc9c1b,RECESS March 2022,2022-03-25,recess-march-2022,
5efe1cb9-ddbc-4ef3-8230-544a5b7cfe89,RECESS April 2022 [25+],2022-04-17,recess-april-2022-25-plus,
a8df17e2-c597-4c30-936b-a6b780ec0c49,RECESS April 2022 [21+],2022-04-18,recess-april-2022-21-plus,
9c636ece-912e-4b4a-9d13-b86cc4a02e80,RECESS Weekender 2022 [Day 1],2022-06-01,recess-weekender-2022-day-1,
db43677d-1d25-43c1-8361-a1eb376b980e,RECESS Weekender 2022 [Day 2],2022-06-03,recess-weekender-2022-day-2,
9745c961-3d97-4854-ba69-96d782b49816,RECESS Weekender 2022 [Day 3],2022-06-04,recess-weekender-2022-day-3,
9aa9f612-da5d-4ac6-a729-a29057719d6d,RECESS Block Party 2022,2022-07-03,recess-block-party-2022,
f3f46298-9ff6-4af3-95fe-115977824804,RECESS Garden Party 2022 [25+],2022-07-10,recess-garden-party-2022-25-plus,
46550a72-c835-44d5-944b-5a4f4e3c9be7,A Night in Paris,2022-08-13,a-night-in-paris,
